order,concept,ratio,filename,source_ad_name
0,LifeFuel,mx,tf_lifefuel_mx_504878.mp4,b-H_p-TF_crt-T_c-DY382_t-V_ct-PS_cst-AI_cn-FTF42_h-TMS_cp-L_v-V1_e-Creator_o-NO_it-OG_n-LifeFuel_d-32526
1,TR306,9x16,tf_tr306_9x16_d7db9a.mp4,b-H_p-TF_crt-T_c-AL533_t-V_ct-PP_cst-B-A_cn-TR306_h-B_cp-VO_v-V3_e-Creator_o-NO_it-OG_d-6252026_C_9x16
2,TTAff-MaggieMay-CommentResponse-ReEdit-4,mx,tf_ttaff-maggiemay-commentresponse-reedit-4_mx_39cf49.mp4,Video_TTAff-MaggieMay-CommentResponse-ReEdit-4_C.Control_/pdp
3,Cohley-TreyBeltrand-Unscripted-ColorGuar,9x16,tf_cohley-treybeltrand-unscripted-colorguar_9x16_3c158e.mp4,Video_Cohley-TreyBeltrand-Unscripted-ColorGuardian_C.Control_/pdp_ASC
4,Cohley-TreyBeltrand-Unscripted-ColorGuar,4x5,tf_cohley-treybeltrand-unscripted-colorguar_4x5_3c1591.mp4,Video_Cohley-TreyBeltrand-Unscripted-ColorGuardian_C.Control_/pdp_ASC
5,TTAff-MaggieMay-TalkingHead1-ReEdit-2,mx,tf_ttaff-maggiemay-talkinghead1-reedit-2_mx_39cf3b.mp4,Video_TTAff-MaggieMay-TalkingHead1-ReEdit-2_C.Control_/pdp_ASC
6,TTAff-TurboTrell,mx,tf_ttaff-turbotrell_mx_e22d2e.mp4,Video_TTAff- TurboTrell_C.Control_/pdp
7,JohnClaude-Trey,mx,tf_johnclaude-trey_mx_350876.mp4,b-H_p-TF_crt-C_c-V292_t-V_ct-PP_cst-IS_cn-APHT325_h-TMS_cp-L_v-V10_e-Creator_o-NO_it-H_n-JohnClaude-Trey_d-52626
8,MaggieCompliments1,mx,tf_maggiecompliments1_mx_45006a.mp4,b-H_p-TF_crt-T_c-MP301_t-V_ct-T_cst-SP_cn-TC313_h-SP_cp-L_v-V1_e-CS_o-NO_it-M_n-MaggieCompliments1_d-42826
9,Gassed-OldInkRevived-1,9x16,tf_gassed-oldinkrevived-1_9x16_4dea86.mp4,Video_Gassed-OldInkRevived-1_C.Control_/pdp
10,Gassed-OldInkRevived-1,4x5,tf_gassed-oldinkrevived-1_4x5_4dea82.mp4,Video_Gassed-OldInkRevived-1_C.Control_/pdp
11,TTAff-MaggieMay-CommentResponse,mx,tf_ttaff-maggiemay-commentresponse_mx_71f687.mp4,Video_TTAff-MaggieMay-CommentResponse_C.Control_/pdp_ASC
12,TTAff-MaggieMay-TalkingHead1-ReEdit-5,mx,tf_ttaff-maggiemay-talkinghead1-reedit-5_mx_39cf42.mp4,Video_TTAff-MaggieMay-TalkingHead1-ReEdit-5_C.Control_/pdp
13,Gassed-TouchUpInAJar-5,9x16,tf_gassed-touchupinajar-5_9x16_bc7ddf.mp4,Video_Gassed-TouchUpInAJar-5_C.Control_/pdp
14,Gassed-TouchUpInAJar-5,4x5,tf_gassed-touchupinajar-5_4x5_bc7dde.mp4,Video_Gassed-TouchUpInAJar-5_C.Control_/pdp
